"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1CAEHafiiJKjp6t9hfYX7f","Forever Loving Jah","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:321q9p7PELvzcFAWxml7VX","Uprising","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1980-06-10","https://i.scdn.co/image/ab67616d0000b2731c40418d1c37d727e8e91b04","1","9","242333","https://p.scdn.co/mp3-preview/88934c9e4b0168364b8c5369568734b7472b3f9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USIR28000017","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T04:46:02Z"
"spotify:track:7hs9iVVyWgB9jmBBGQoRdM","No Fires It","spotify:artist:6OUA3lcutvNdX4YHLNS142","McWoner","spotify:album:3XbNsW647llV4pw8do8JcN","Well Charged","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1991-12-31","https://i.scdn.co/image/ab67616d0000b2736f8c8b5e214654e6ef47d19e","1","20","194186","","false","0","GBMHG0601420","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T04:46:38Z"
"spotify:track:5M77yXWuKPqaUzdxn4cVnV","Concrete Jungle","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:39kLAVdcgW7jbMcTEaY2qy","Catch A Fire","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1973-04-13","https://i.scdn.co/image/ab67616d0000b27387ef6dae7545173089c68f34","1","1","253960","https://p.scdn.co/mp3-preview/19544b44fdebbad5e3300e6da3417a9cf20e3f8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAPA0100004","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T04:47:56Z"
"spotify:track:5JqCmd41S3PZ2AS6GuHqcR","Pimper's Paradise","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:321q9p7PELvzcFAWxml7VX","Uprising","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1980-06-10","https://i.scdn.co/image/ab67616d0000b2731c40418d1c37d727e8e91b04","1","7","207773","https://p.scdn.co/mp3-preview/ab4705a52ce73e11982c50a110a0f07655f142fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USIR28000015","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T04:51:45Z"
"spotify:track:22AbXxQbMdVqEz7xJjhccG","Welcome To Jamrock","spotify:artist:3QJzdZJYIAcoET1GcfpNGi","Damian Marley","spotify:album:4Y0PrDckfFKxKaVXsscDLB","Welcome to Jamrock","spotify:artist:3QJzdZJYIAcoET1GcfpNGi","Damian Marley","2005-01-01","https://i.scdn.co/image/ab67616d0000b273569c9bd53261cc7313fbc7bd","1","3","213200","https://p.scdn.co/mp3-preview/db6e4c1f6c480a13e5760f41e7927a8113a4a440?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USUM70502069","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T04:52:55Z"
"spotify:track:2Ezmm08Oy4772SkEoC18Kt","Them Belly Full (But We Hungry)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:1d8lF3nZpEIFeEbWmAt9Ey","Natty Dread","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1974","https://i.scdn.co/image/ab67616d0000b273b5a0ee94e2741374ce5c71a2","1","3","193226","https://p.scdn.co/mp3-preview/4e5cd3f53fdd17a1d1f2a42ca1ad79f8b3fc352f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAAN7400147","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T04:56:15Z"
"spotify:track:5722IiSQ4ZqzpwhwFeCz2u","Positive Vibration","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:6Gdf5vvFmoEwcsEV61tXiT","Rastaman Vibration","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1976","https://i.scdn.co/image/ab67616d0000b273280b04817e7547fea8cfb7d0","1","1","213893","https://p.scdn.co/mp3-preview/e164400c23ddb104e32e03042e71ed0d251ee668?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USIR27600001","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T05:01:16Z"
"spotify:track:73lYI49LhfsscO33ohrGN0","Legalize It","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","spotify:album:4ESdQfdgBr9yaYraKU0Vle","Legalize It (Legacy Edition)","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","1976","https://i.scdn.co/image/ab67616d0000b273995588ad272e39bfc75016a3","1","1","279360","https://p.scdn.co/mp3-preview/d101bda3cd9aab99595f608233c2fb7952247e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM17600556","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T05:02:01Z"
"spotify:track:0wqEjeBH97VfKHborK6h0P","Wild Goose Chase","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","spotify:album:1h5jSwgEiUDx58MiBFVTgV","Earth Crisis","spotify:artist:6UL7BodGc5iVmQGlMwHR0g","Steel Pulse","2005-06-07","https://i.scdn.co/image/ab67616d0000b273debaed4026f8dc6cd23fb048","1","8","345400","https://p.scdn.co/mp3-preview/fbcfa7fdf5d384a3ef1b1a37360b5e74a1ced18c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USEE10181691","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T05:03:31Z"
"spotify:track:6JXQ7fWGFKB6DgiCCSLcXO","Satta Massagana","spotify:artist:1vB5909auE9YUaTjQ7ZkTj","The Abyssinians","spotify:album:3I6FAUKLydrTWLQo99xbWt","Satta Massagana","spotify:artist:1vB5909auE9YUaTjQ7ZkTj","The Abyssinians","1976","https://i.scdn.co/image/ab67616d0000b273b7940f6d692a8d0b868d8634","1","8","209426","https://p.scdn.co/mp3-preview/743ac336059215573b3fb3e703e7c85dbcbfe96c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USHB19312008","spotify:user:22sdp7hcqje57feigouwzjgyq","2021-12-05T05:05:01Z"
