song,artist,spotify_track_id,spotify_artist_id,album,release_date,duration_ms,popularity,explicit
I Wouldn't Want to Be Like You,The Alan Parsons Project,4sCCZW0ezEPAexAidFsoVm,2m62cc253Xvd9qYQ8d2X3d,I Robot,1977-07-08,203346,60,False
Unnanounced,3Dcam,5c6ajOkPH23j1AaddxdA7F,0Ug8XunJs2uhubTHdELnG4,Unnanounced,2023-04-20,134711,49,True
Tomorrow,Silverchair,24tO365YW6lcZr1hN4Ukzj,4iudEcmuPlYNdbP3e1bdn1,Frogstomp (Deluxe Edition) [Remastered],1995-03-27,266280,68,False
When the Lights Go out - 2018 Remaster,Naked Eyes,6fyj12D82DuD0U7tVUMujZ,3C6chBmZ9wzisBhoh8G2nK,Naked Eyes,1983-01-01,182560,46,False
How Long,Ace,6Wgst4P9SOnc6WGLtfTb1z,6QNkSI0c63lCTNXpHDBiqP,Five-A-Side,1974-01-01,204226,66,False
My Dream - 2013 Remaster,Fleetwood Mac,3RdZNq9Rt230mfhjHkFwcx,08GQAI4eElDnROBrJRGE0X,Then Play On (2013 Remaster; Expanded Edition),1969-09-19,211628,41,False
Eye In The Sky,The Alan Parsons Project,2sIbHjfJ3nbMXNz4w03fWv,2m62cc253Xvd9qYQ8d2X3d,Eye In The Sky,1982-06-01,276280,75,False
Semi on Em,Chief Keef,7z87G3zVo34bqi32Q9PQeK,15iVAtD3s3FsQR4w1v6M0P,Big Gucci Sosa,2015-12-11,170685,60,True
Pepper,Butthole Surfers,1ng36571Iyov4HBxUClySn,62BcWP4fzR8axESibNQEhs,Electriclarryland,1996-01-01,297266,67,False
Dreiton,C418,0lEikZP9JffOW4sufCKtQO,4uFZsG1vXrPcvnZ4iSQyrx,Minecraft - Volume Beta,2013-11-09,497000,58,False
Time Again,Charlie Ivan Band,7cZm674mWeaTm4Ny87W5gY,7IseCqt3MdDZCfdmupcJun,Where the Dogs Go to Die,2024-10-09,228308,15,True
Ballin Out,Waka Flocka Flame,0WyeG1Xwy4KTwHDmInqxqA,6f4XkbvYlXMH0QgVRzW0sM,Twin Towers 1,2018-04-13,204023,33,True
Breaking Glass - 2017 Remaster,David Bowie,2xFq7wVYKmTHFUySyfv789,0oSGxfWSnnOXhD2fKuz2Gy,Low (2017 Remaster),1977,112400,43,False
Hang on to Your Love,Sade,6KIS5YIZAyeiFNx1aE1OhY,47zz7sob9NUcODy0BTDvKx,The Best of Sade,1994-10-31,270466,71,False
But for Love,Eddy Arnold,16rxkHSMhmu0cCM4XzfknR,5QsUbpxSE8lCZ5ga5rnD22,The Glory of Love,1969-06-01,153786,36,False
Clean Heart,Sade,10TTcq5sPRxx1hq2lQ04CI,47zz7sob9NUcODy0BTDvKx,Stronger Than Pride,1988-05-03,241666,53,False
Rivière,Deftones,1A6Y3Ntkk4oeQ9FUskNMkY,6Ghvu1VvMGScGpOUJBAHNH,Saturday Night Wrist,2006-10-25,225240,51,False
Selfish,Slum Village,7sZCAHP2duHwr5M5K7lHsb,1020a42xVklY6c56imNcaa,Detroit Deli (A Taste Of Detroit),2004-01-01,225400,63,True
Don't Sang It,La Chat,4N8zHrZkTGqMPVNKaU5AVL,5hDwYJ7KaXEQV2XBeijKNt,Murder She Spoke,2001-10-23,286906,29,True
You Can't Change a Man,Christy Essien Igbokwe,5jO6agviIZnOFaaDoJnfkR,1HefyGXvLQBSDcnWDXuuFm,One Understanding,1979-10-10,241397,52,False
Comfortable Liar,Chevelle,412LyfktkgWKEn8kmKiyQe,56dO9zeHKuU5Gvfc2kxHNw,Wonder What's Next (Expanded Edition),2002,223266,71,False
On The Radio,Donna Summer,41v23mPw4Se92JKUGvnkmW,2eogQKWWoohI3BSnoG7E2U,On The Radio: Greatest Hits Volumes I & II,1979-10-15,241506,64,False
So Far Away,Staind,6FOpPA0a80RuBqqgDozvja,5KDIH2gF0VpelTqyQS7udb,14 Shades of Grey,2003-05-13,243573,73,False
